Time,Distance,Pace,Average Cadence,Average Heart Rate,Max Heart Rate,Relative Effort,Calories
4364,14.22,5.07,83,163,171,128,1053
2983,9.66,5.09,82,155,166,67,660
600,1.92,5.12,82,154,162,12,139
2581,8.4,5.07,83,167,188,93,662
3370,10.76,5.13,82,148,167,45,703
2710,8.41,5.22,82,154,167,59,602
1746,5.56,5.14,82,160,179,47,433
2963,8.44,5.51,81,142,153,18,561
3380,10.21,5.31,81,147,156,37,671
1450,4.56,5.18,82,152,159,26,326
362,0.89,6.47,81,150,157,5,81
531,1.09,8.07,77,169,181,19,176
2734,8.38,5.26,81,151,180,42,585
797,2.45,5.25,82,161,179,22,214
1217,4.93,4.07,87,186,194,76,423
709,2.17,5.27,83,160,175,19,189
5129,14.88,5.45,82,151,173,80,1152
2919,9.06,5.22,81,149,158,41,601
2369,6.33,6.14,80,145,155,23,474
2030,6.07,5.34,81,150,159,33,447
2649,8.31,5.19,81,160,178,71,646
2778,7.5,6.1,80,152,161,54,600
2662,8.08,5.29,83,164,178,81,676
3638,11.0,5.31,82,166,181,118,953
1365,4.94,4.36,83,183,202,77,460
824,2.12,6.29,80,166,187,26,230
2373,5.41,7.19,75,138,204,23,714
2929,8.39,5.49,80,154,165,63,641
2837,8.95,5.17,82,162,182,80,750
2863,9.0,5.18,81,171,180,112,785
3208,9.01,5.56,80,151,169,58,681
1350,5.01,4.29,84,183,199,77,447
3979,14.05,4.43,85,188,195,265,1327
5784,16.03,6.01,82,160,192,158,1369
2890,8.2,5.52,82,151,164,46,622
2172,6.38,5.4,81,155,166,48,487
3169,9.5,5.34,81,157,173,78,715
3125,9.45,5.31,82,157,170,76,708
3606,10.52,5.43,82,149,166,50,729
2737,8.2,5.34,82,150,162,43,576
3159,9.53,5.31,81,157,170,76,707
3371,10.4,5.24,82,154,167,68,723
2922,8.94,5.27,83,148,167,38,592
3326,9.9,5.36,83,165,172,104,826
2568,8.12,5.16,82,164,191,81,657
3043,8.79,5.46,82,146,153,31,588
3638,10.42,5.49,81,145,156,34,695
3783,11.82,5.2,83,156,181,80,852
